name,carbs,fats,proteins
BABYFOOD.DSSRT.BANANA YOGURT.STR,17.35,0.52,1.1
BABYFOOD.DSSRT.BLUEBERRY YOGURT.STR,17.05,0.7,0.5
BABYFOOD.DSSRT.CHERRY VANILLA PUDD.JR,18.4,0.2,0.2
BABYFOOD.DSSRT.CHERRY VANILLA PUDD.STR,17.8,0.3,0.2
BABYFOOD.DSSRT.CUSTARD PUDD.VANILLA.JR,17.58,0.98,1.76
BABYFOOD.DSSRT.CUSTARD PUDD.VANILLA.STR,16,2,1.6
BABYFOOD.DSSRT.DUTCH APPL.JR,19.18,0.16,0.2
BABYFOOD.DSSRT.DUTCH APPL.STR,19.74,0.4,0.2
BABYFOOD.DSSRT.FRUIT DSSRT.WO/VIT C.JR,17.2,0,0.3
BABYFOOD.DSSRT.FRUIT DSSRT.WO/VIT C.STR,16,0,0.3
BABYFOOD.DSSRT.FRUIT PUDD.ORANGE.STR,17.7,0.9,1.1
BABYFOOD.DSSRT.FRUIT PUDD.PNAPPL.STR,20.3,0.3,1.3
BABYFOOD.DSSRT.PEACH COBBLER.JR,18.3,0,0.3
BABYFOOD.DSSRT.PEACH COBBLER.STR,17.8,0,0.3
BABYFOOD.DSSRT.PEACH MELBA.JR,16.4,0,0.3
BABYFOOD.DSSRT.PEACH MELBA.STR,16.5,0,0.2
BABYFOOD.DSSRT.PEACH YOGURT,17.6,0.18,0.9
BABYFOOD.DSSRT.TROPICAL FRUIT.JR,16.4,0,0.2
BABYFOOD.FINGER SNACKS.GERB.GRADUAT.LIL CRUNCHI - MILD CHEDD,57.61,27.76,8.26
BABYFOOD.FINGER SNACKS.GERBER.GRADUATES.PUFFS.APPL & CINN,85.79,2.3,6.19
BABYFOOD.FORT CRL BAR.FRUIT FILLING,68.63,5.3,5.43
BABYFOOD.FRUIT & VEG.APPL & SWT POTATO,15.3,0.22,0.3
BABYFOOD.FRUIT DSSRT.MANGO W/ TAPIOCA,19,0.2,0.3
BABYFOOD.FRUIT SUPREME DSSRT,17.18,0.2,0.5
